Category,Workload,N,M,K,PrIM-H2D,PrIM-Kernel,PrIM-After,PrIM-Total,PS-H2D,PS-Kernel,PS-After,PS-Total,ATiM-H2D,ATiM-Kernel,ATiM-After,ATiM-Total,SimplePIM-H2D,SimplePIM-Kernel,SimplePIM-After,CPU-Autotuned
GPT 6B,mmtv,16,64,256,0.14091,0.718841,0.100969,0.96072,0.141524,0.400447,0.104656,0.646627,0.147693873,0.212238536,0.208250621,0.56818303,,,,0.110342482
,mmtv,16,128,256,0.125462,0.712972,0.112824,0.951258,0.140719,0.524015,0.110726,0.77546,0.12480777,0.244200249,0.2295301,0.598538119,,,,0.214375228
,mmtv,16,256,256,0.343482,0.738897,0.188651,1.27103,0.322613,0.436188,0.171295,0.930096,0.102153002,0.37288181,0.367237505,0.842272317,,,,0.405673407
,mmtv,16,512,256,0.34236,0.756036,0.220425,1.318821,0.287136,0.551634,0.198646,1.037416,0.332084326,0.343967234,0.379113197,1.055164757,,,,0.580953517
,mmtv,64,64,256,0.271832,0.72522,0.192089,1.189141,0.336399,0.442142,0.173947,0.952488,0.180456688,0.335525687,0.23105831,0.747040685,,,,0.421944484
,mmtv,64,128,256,0.277854,0.737077,0.201721,1.216652,0.276629,0.64375,0.175398,1.095777,0.341712272,0.362596726,0.39927545,1.103584448,,,,0.57867702
,mmtv,64,256,256,0.602206,0.763035,0.318975,1.684216,0.283094,0.94317,0.22858,1.454844,0.593,0.561,0.28,1.434,,,,0.859410291
,mmtv,64,512,256,0.69241,0.919469,0.377325,1.989204,0.662555,0.727468,0.376107,1.76613,0.393856496,0.62108093,0.670813303,1.685750729,,,,2.565435138
GPT 30B,mmtv,28,64,256,0.140721,0.719839,0.118708,0.979268,0.137108,0.527938,0.107012,0.772058,0.167608099,0.247674536,0.182340984,0.597623619,,,,0.260198837
,mmtv,28,128,256,0.262058,0.730499,0.157387,1.149944,0.275163,0.504971,0.153195,0.933329,0.176543225,0.243472416,0.318604604,0.738620245,,,,0.373467156
,mmtv,28,256,256,0.27114,0.740695,0.20845,1.220285,0.274172,0.640735,0.178682,1.093589,0.188700553,0.365662547,0.461010002,1.015373102,,,,0.518476629
,mmtv,28,512,256,0.437331,0.748459,0.255022,1.440812,0.467573,0.567441,0.252021,1.287035,0.300129187,0.403070272,0.64038113,1.343580589,,,,1.016810607
,mmtv,112,64,256,0.271824,0.74164,0.209277,1.222741,0.30125,0.559103,0.187394,1.047747,0.269390829,0.520530417,0.172569173,0.962490419,,,,0.454924464
,mmtv,112,128,256,0.433059,0.748237,0.268291,1.449587,0.465363,0.569719,0.250917,1.285999,0.469126269,0.54498259,0.250874472,1.264983331,,,,0.986690848
,mmtv,112,256,256,0.631597,0.896706,0.355123,1.883426,0.410682,0.947505,0.297601,1.655788,0.717835638,0.613217546,0.347651545,1.678704729,,,,2.153605802
,mmtv,112,512,256,0.675981,0.955516,0.438286,2.069783,0.653802,0.739953,0.460518,1.854273,0.679,0.68,0.453,1.812,,,,4.465382327
GPT 6B,mtv,12288,1,4096,3.7974,5.934738,0.411011,10.143149,3.745793,5.119752,0.409692,9.275237,0.72191611,1.474053206,1.199994475,3.395963791,,,,12.96131774
,mtv,4096,1,4096,2.331287,5.38035,0.217961,7.929598,2.547095,4.629266,0.221696,7.398057,0.745496143,0.871749357,0.733807765,2.351053265,,,,5.167971598
,mtv,16384,1,4096,3.757234,5.950569,0.425969,10.133772,3.67693,5.1471,0.417892,9.241922,0.802636082,1.829397221,0.71162828,3.343661583,,,,18.19495382
,mtv,4096,1,16384,6.049062,20.748283,0.165096,26.962441,6.024245,17.986398,0.165917,24.17656,0.739587101,2.573868619,0.997266747,4.310722467,,,,17.58566515
GPT 30B,mtv,21504,1,7168,6.466639,9.92834,0.434836,16.829815,6.307697,8.542917,0.435325,15.285939,1.016273207,3.73213702,1.557846842,6.306257069,,,,37.85484133
,mtv,7168,1,7168,3.878165,11.427453,0.208005,15.513623,4.189245,9.509752,0.235041,13.934038,0.978945149,1.912019129,0.630606048,3.521570326,,,,14.42238132
,mtv,28672,1,7168,6.177272,9.929021,0.439183,16.545476,6.208234,8.575594,0.430465,15.214293,0.98709213,5.541980293,1.620378271,8.149450694,,,,56.35596935
,mtv,7168,1,28672,10.537607,44.843758,0.175019,55.556384,10.516658,37.406847,0.183286,48.106791,1.022466424,4.831568799,0.911259586,6.765294809,,,,51.72595707
