Experiment,M,PrIM,O0,O1,O2,O4
0,72,1.2995,4.910096781,1.514982214,1.292208117,1.301694008
0,91,1.7005,6.082570221,1.794486206,1.587204782,1.564843116
0,123,2.1859,8.09137661,2.325878807,2.042673733,2.037924766
0,145,2.5286,9.437802855,2.839401017,2.323552518,2.316506549
0,164,2.6457,10.68569536,3.097867713,2.624369545,2.620820215
0,196,3.11,12.66209648,3.523670452,3.073733177,3.077030338
0,212,3.3782,13.65904835,3.967949541,3.309209776,3.30645717
0,245,4.0462,15.68131362,4.548685991,3.844097283,3.844877957
1,72,1.5049,5.564354056,1.616262497,1.635776008,1.311480731
1,91,1.5827,6.213500067,1.920289474,1.921414593,1.587391047
1,123,2.0613,8.210573037,2.496378239,2.496969187,2.031191071
1,145,2.4579,9.856765987,2.913839366,2.916399248,2.348887387
1,164,2.9336,11.4401828,3.335397273,3.313143552,2.644098226
1,196,3.4042,13.43278064,3.882359034,3.868780697,3.086767711
1,212,3.4324,13.98673581,4.119746586,4.115736062,3.31674676
1,245,3.8909,16.00994022,4.734031863,4.704066413,3.784615721
2,72,0.5906,1.828292405,0.647267368,0.6039748,0.573164252
2,91,0.7503,2.473833397,0.847786648,0.808021355,0.745898591
2,123,1.1727,4.162623798,1.313277423,1.247098608,1.13740587
2,145,1.5814,5.78193583,1.87799396,1.791136845,1.414670082
2,164,1.9325,7.519812112,2.340587228,2.06870667,1.785440149
2,196,2.6161,10.43602332,3.216032522,2.870746436,2.437091853
2,212,2.8678,11.7119568,3.613639537,3.2405259,2.776555286
2,245,3.9025,15.39657574,4.585577998,4.239756058,3.516603444
3,1,0.2295,2.073954666,0.299598685,0.221708403,0.223381044
3,2,0.3325,3.570299291,0.434571028,0.296558377,0.299806429
3,3,0.438,5.047561748,0.582513039,0.386134306,0.387406394
3,4,0.5311,6.490432026,0.635508742,0.455105368,0.453449943
3,5,0.622,7.972596194,0.853296979,0.542611122,0.542069757
3,6,0.7229,9.430204662,0.990505921,0.617100649,0.617139292
3,7,0.8377,10.89685716,1.190138978,0.694104507,0.695066475
3,8,0.9083,12.33713566,1.108326013,0.756121875,0.757494988
