Category,Workload,M,N,K,PrIM-H2D,PrIM-Kernel,PrIM-After,PrIM-Total,PS-H2D,PS-Kernel,PS-After,PS-Total,ATiM-H2D,ATiM-Kernel,ATiM-After,ATiM-Total,SimplePIM-H2D,SimplePIM-Kernel,SimplePIM-After,CPU-Autotuned
POLY-S,va,1048576.0,1.0,1.0,0.0,0.376111,0.609126,0.985237,0.0,0.323671,0.609126,0.932797,0.0,0.229126094,0.622028807,0.851637586,0.0,0.302956,3.741,0.845628266
,red,524288.0,1.0,1.0,0.0,0.156861,1.042576,1.199437,0.0,0.139141,0.577922,0.717063,0.0,0.191378633,0.124765446,0.316144079,0.0,0.323313,0.20407,0.412526422
,mtv,1024.0,1.0,1024.0,0.716343,1.535643,0.196816,2.448802,0.475915,1.291783,0.158204,1.925902,0.176093455,0.328166248,0.232988176,0.737247879,,,,0.404981644
,ttv,32.0,64.0,512.0,0.403765,0.89345,0.195603,1.492818,0.409547,0.731448,0.188208,1.329203,0.164349142,0.332603718,0.233430901,0.730383761,,,,0.430584431
,mmtv,32.0,64.0,512.0,0.141867,1.174072,0.1295,1.445439,0.205803,0.927664,0.160802,1.294269,0.16735208,0.344513099,0.233857964,0.745723143,,,,0.458445224
,geva,1048576.0,1.0,1.0,0.0,0.540293,0.621162,1.161455,0.0,0.410622,0.621162,1.031784,0.0,0.282034289,0.641383461,0.924331496,,,,0.890338301
,gemv,1024.0,1.0,1024.0,0.866464,2.418372,0.200769,3.485605,0.879018,2.198435,0.202991,3.280444,0.195313951,0.402431909,0.221524569,0.819270429,,,,0.411375787
POLY-M,va,16777216.0,1.0,1.0,0.0,0.57345,10.377337,10.950787,0.0,0.514211,9.346931,9.861142,0.002565836,0.477655376,9.560574588,10.0407958,,0.567486,84.563,15.511189
,red,8388608.0,1.0,1.0,0.0,0.369108,1.816325,2.185433,0.0,0.423968,1.109281,1.533249,0.0,0.513094547,0.222064765,0.735159312,,0.466184,0.355872,4.4829475
,mtv,4096.0,,4096.0,0.919123,5.831425,0.23952,6.990068,0.916352,5.128956,0.245186,6.290494,0.647984058,0.910420871,0.910652565,2.469057494,,,,4.63145
,ttv,128.0,256.0,512.0,0.478882,1.362051,0.433779,2.274712,0.484359,1.101561,0.459818,2.045738,0.514674956,1.006843377,0.373314495,1.894832828,,,,4.2957915
,mmtv,128.0,256.0,512.0,0.453557,1.370033,0.476381,2.299971,0.596934,1.111859,0.470939,2.179732,0.682100958,0.952130339,0.453098532,2.087329829,,,,4.5381945
,geva,16777216.0,1.0,1.0,0.0,1.132387,10.483849,11.6162359,0.0,1.148463,9.737419,10.885882,0.0,1.248877113,9.901935164,11.15081228,,,,14.8217175
,gemv,4096.0,1.0,4096.0,1.190443,9.416692,0.270738,10.877873,1.079372,8.669675,0.239281,9.988328,0.703036568,1.065040492,0.538980713,2.307057773,,,,4.6710945
POLY-L,va,67108864.0,1.0,1.0,0.0,1.377264,23.904908,25.282172,0.0,1.357438,23.904908,25.262346,0.0,1.286944331,23.71762607,25.00788014,0.0,1.205479,276.612,65.87658685
,red,33554432.0,1.0,1.0,0.0,0.934115,1.45065,2.384765,0.0,0.805521,1.218835,2.024356,0.0,0.660012901,0.267783871,0.928318199,0.0,0.715207,0.532634,18.72971837
,mtv,8192.0,1.0,8192.0,6.192186,10.4992,0.248099,16.939485,3.050685,12.988811,0.19093,16.230426,0.804874768,2.276299675,0.99033581,4.071510253,,,,17.1243555
,ttv,256.0,512.0,512.0,0.684605,2.453153,0.531122,3.66888,0.725535,1.947593,0.53859,3.211718,0.767,1.99,0.558,3.315,,,,15.4431151
,mmtv,256.0,512.0,512.0,0.661196,2.49231,0.534301,3.687807,0.67855,1.990603,0.519308,3.188461,0.713310739,1.810202036,0.490932624,3.014445399,,,,17.46249
,geva,67108864.0,1.0,1.0,0.0,3.561584,23.904908,27.466492,0.0,3.721724,23.62779,27.349514,0.0,3.78531216,23.41152259,27.20066356,,,,65.71990076
,gemv,8192.0,1.0,8192.0,6.167671,17.600385,0.249773,24.017829,6.165182,16.227113,0.248411,22.640706,0.736268303,2.398522148,1.369953815,4.504744266,,,,17.3347255
POLY-XL, ,,,,,,,,,,,,,,,,,,,
,red,67108864.0,1.0,1.0,0.0,1.846325,2.295221,4.141546,0.0,1.564324,2.075736,3.64006,0.000847806,0.753854324,0.409558327,1.164260457,,1.02441,0.609394,27.0693855
,mtv,8192.0,1.0,16384.0,6.674142,22.178229,0.386569,29.23894,6.595242,19.424132,0.42623,26.445604,0.988453037,3.513797671,2.054855364,6.557106072,,,,26.995164
,ttv,512.0,512.0,512.0,0.709466,4.579069,1.074962,6.363497,0.698142,3.840525,1.186768,5.725435,0.696741861,3.518407449,0.898845801,5.113995111,,,,32.0953825
,mmtv,512.0,512.0,512.0,0.76786,4.652147,1.086944,6.506951,0.751094,4.474066,1.12118,6.34634,0.723499199,3.490816701,0.893902381,5.108218281,,,,27.9721725
, ,,,,,,,,,,,,,,,,,,,
,polygemv,8192.0,1.0,16384.0,6.866623,36.663629,0.399001,43.929253,6.894861,33.986089,0.392215,41.273165,1.398632508,4.528431032,1.185681382,7.112744922,,,,33.121998
