Category,Workload,M,N,K,PrIM-H2D,PrIM-Kernel,PrIM-After,PrIM-Total,PS-H2D,PS-Kernel,PS-After,PS-Total,ATiM-H2D,ATiM-Kernel,ATiM-After,ATiM-Total,SimplePIM-H2D,SimplePIM-Kernel,SimplePIM-After,CPU-Autotuned
GPT 6B,mmtv,16,64,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,mmtv,16,128,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,mmtv,16,256,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,mmtv,16,512,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,mmtv,64,64,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,mmtv,64,128,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,mmtv,64,256,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,mmtv,64,512,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPT 30B,mmtv,28,64,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,mmtv,28,128,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,mmtv,28,256,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,mmtv,28,512,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,mmtv,112,64,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,mmtv,112,128,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,mmtv,112,256,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,mmtv,112,512,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPT 6B,mtv,12288,1,4096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,mtv,4096,1,4096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,mtv,16384,1,4096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,mtv,4096,1,16384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPT 30B,mtv,21504,1,7168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,mtv,7168,1,7168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,mtv,28672,1,7168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,mtv,7168,1,28672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
