Experiment,M,PrIM,O0,O1,O2,O4
0,72,0,0,0,0,0
0,91,0,0,0,0,0
0,123,0,0,0,0,0
0,145,0,0,0,0,0
0,164,0,0,0,0,0
0,196,0,0,0,0,0
0,212,0,0,0,0,0
0,245,0,0,0,0,0
1,72,0,0,0,0,0
1,91,0,0,0,0,0
1,123,0,0,0,0,0
1,145,0,0,0,0,0
1,164,0,0,0,0,0
1,196,0,0,0,0,0
1,212,0,0,0,0,0
1,245,0,0,0,0,0
2,72,0,0,0,0,0
2,91,0,0,0,0,0
2,123,0,0,0,0,0
2,145,0,0,0,0,0
2,164,0,0,0,0,0
2,196,0,0,0,0,0
2,212,0,0,0,0,0
2,245,0,0,0,0,0
3,1,0,0,0,0,0
3,2,0,0,0,0,0
3,3,0,0,0,0,0
3,4,0,0,0,0,0
3,5,0,0,0,0,0
3,6,0,0,0,0,0
3,7,0,0,0,0,0
3,8,0,0,0,0,0
